Invoice Number,Payment Method,Payment Date,Sales person,Dynamic Data Masking,Email,,,,,,,,
INV-28815,Check,12-Apr-24,,,,,,,,,,,
INV-40081,Check,18-Apr-24,,,,,,,,,,,
INV-23765,Wire Transfer,19-Apr-24,,,,,,,,,,,
INV-21942,ACH Transfer,12-Apr-24,,,,,,,,,,,
INV-91735,Credit Card,23-Apr-24,,,,,,,,,,,
INV-39568,Wire Transfer,29-Apr-24,,,,,,,,,,,
INV-11693,Credit Card,6-May-24,,,,,,,,,,,
INV-83063,Wire Transfer,17-Apr-24,,,,,,,,,,,
INV-83268,Check,17-Apr-24,,,,,,,,,,,
INV-54670,Credit Card,28-Apr-24,,,,,,,,,,,
INV-88449,Credit Card,3-May-24,,,,,,,,,,,
INV-10035,Check,16-Apr-24,,,,,,,,,,,
INV-13590,Wire Transfer,15-Apr-24,,,,,,,,,,,
INV-10945,Credit Card,13-Apr-24,,,,,,,,,,,
INV-53429,Credit Card,7-Apr-24,,,,,,,,,,,
INV-74687,Credit Card,17-Apr-24,,,,,,,,,,,
INV-91890,ACH Transfer,23-Apr-24,,,,,,,,,,,
INV-92633,Wire Transfer,14-Apr-24,,,,,,,,,,,
INV-84203,Credit Card,14-Apr-24,,,,,,,,,,,
INV-54905,ACH Transfer,18-Apr-24,,,,,,,,,,,
INV-18091,Check,28-Apr-24,,,,,,,,,,,
INV-97244,Wire Transfer,16-Apr-24,,,,,,,,,,,
INV-77574,ACH Transfer,14-Apr-24,,,,,,,,,,,
INV-33162,Check,15-Apr-24,,,,,,,,,,,
INV-32435,Wire Transfer,7-Apr-24,,,,,,,,,,,
INV-89166,Credit Card,3-May-24,,,,,,,,,,,
INV-94623,Check,9-Apr-24,,,,,,,,,,,
INV-17856,ACH Transfer,5-May-24,,,,,,,,,,,
INV-41283,ACH Transfer,1-May-24,,,,,,,,,,,
INV-70068,Wire Transfer,1-May-24,,,,,,,,,,,
INV-60874,Wire Transfer,26-Apr-24,,,,,,,,,,,
INV-89106,Wire Transfer,8-Apr-24,,,,,,,,,,,
INV-55390,Credit Card,24-Apr-24,,,,,,,,,,,
INV-45352,Check,15-Apr-24,,,,,,,,,,,
INV-34023,Credit Card,3-May-24,,,,,,,,,,,
INV-34029,ACH Transfer,2-May-24,,,,,,,,,,,
INV-31279,Credit Card,2-May-24,,,,,,,,,,,
INV-94501,ACH Transfer,4-May-24,,,,,,,,,,,
INV-84010,Wire Transfer,27-Apr-24,,,,,,,,,,,
INV-41050,Check,4-May-24,,,,,,,,,,,
INV-73961,ACH Transfer,7-Apr-24,,,,,,,,,,,
INV-69908,Wire Transfer,15-Apr-24,,,,,,,,,,,
INV-32459,ACH Transfer,2-May-24,,,,,,,,,,,
INV-38643,Credit Card,25-Apr-24,,,,,,,,,,,
INV-83725,Wire Transfer,9-Apr-24,,,,,,,,,,,
INV-48179,Wire Transfer,20-Apr-24,,,,,,,,,,,
INV-83147,Check,21-Apr-24,,,,,,,,,,,
INV-54920,Credit Card,21-Apr-24,,,,,,,,,,,
INV-84973,ACH Transfer,2-May-24,,,,,,,,,,,
INV-77234,ACH Transfer,15-Apr-24,,,,,,,,,,,
INV-47113,Check,30-Apr-24,,,,,,,,,,,
INV-24231,Check,16-Apr-24,,,,,,,,,,,
INV-64864,ACH Transfer,22-Apr-24,,,,,,,,,,,
INV-67910,Credit Card,15-Apr-24,,,,,,,,,,,
INV-98340,ACH Transfer,14-Apr-24,,,,,,,,,,,
INV-57879,ACH Transfer,6-May-24,,,,,,,,,,,
INV-22444,Wire Transfer,16-Apr-24,,,,,,,,,,,
INV-87476,Wire Transfer,15-Apr-24,,,,,,,,,,,
INV-67154,ACH Transfer,13-Apr-24,,,,,,,,,,,
INV-69226,Wire Transfer,25-Apr-24,,,,,,,,,,,
INV-36408,ACH Transfer,10-Apr-24,,,,,,,,,,,
INV-66214,Wire Transfer,18-Apr-24,,,,,,,,,,,
INV-53652,Check,14-Apr-24,,,,,,,,,,,
INV-65180,Check,2-May-24,,,,,,,,,,,
INV-43014,Credit Card,8-Apr-24,,,,,,,,,,,
INV-80188,ACH Transfer,9-Apr-24,,,,,,,,,,,
INV-16881,Credit Card,1-May-24,,,,,,,,,,,
INV-75736,Wire Transfer,17-Apr-24,,,,,,,,,,,
INV-19425,Credit Card,12-Apr-24,,,,,,,,,,,
INV-24187,ACH Transfer,21-Apr-24,,,,,,,,,,,
INV-87547,Check,27-Apr-24,,,,,,,,,,,
INV-27593,Check,8-Apr-24,,,,,,,,,,,
INV-92861,Wire Transfer,25-Apr-24,,,,,,,,,,,
INV-75651,Check,8-Apr-24,,,,,,,,,,,
INV-83651,Credit Card,19-Apr-24,,,,,,,,,,,
INV-63944,Check,19-Apr-24,,,,,,,,,,,
INV-81412,Credit Card,25-Apr-24,,,,,,,,,,,
INV-76783,Credit Card,12-Apr-24,,,,,,,,,,,
INV-23959,Check,6-May-24,,,,,,,,,,,
INV-82307,Wire Transfer,30-Apr-24,,,,,,,,,,,
INV-96835,Credit Card,23-Apr-24,,,,,,,,,,,
INV-83387,ACH Transfer,29-Apr-24,,,,,,,,,,,
INV-55217,Wire Transfer,1-May-24,,,,,,,,,,,
INV-90905,Wire Transfer,1-May-24,,,,,,,,,,,
INV-37892,ACH Transfer,7-Apr-24,,,,,,,,,,,
INV-15782,Check,24-Apr-24,,,,,,,,,,,
INV-45432,ACH Transfer,16-Apr-24,,,,,,,,,,,
INV-72697,Check,17-Apr-24,,,,,,,,,,,
INV-53634,ACH Transfer,14-Apr-24,,,,,,,,,,,
INV-44808,ACH Transfer,12-Apr-24,,,,,,,,,,,
INV-81941,Wire Transfer,28-Apr-24,,,,,,,,,,,
INV-52992,Credit Card,3-May-24,,,,,,,,,,,
INV-96115,Credit Card,13-Apr-24,,,,,,,,,,,
INV-15065,Check,23-Apr-24,,,,,,,,,,,
INV-45838,ACH Transfer,5-May-24,,,,,,,,,,,
INV-61374,ACH Transfer,25-Apr-24,,,,,,,,,,,
INV-78185,Credit Card,11-Apr-24,,,,,,,,,,,
INV-92485,ACH Transfer,2-May-24,,,,,,,,,,,
INV-48983,Check,6-May-24,,,,,,,,,,,
INV-49378,ACH Transfer,29-Apr-24,,,,,,,,,,,
INV-68584,Credit Card,16-Apr-24,,,,,,,,,,,
INV-63604,ACH Transfer,4-May-24,,,,,,,,,,,
INV-27671,Check,21-Apr-24,,,,,,,,,,,
INV-69669,ACH Transfer,26-Apr-24,,,,,,,,,,,
INV-57374,Wire Transfer,6-May-24,,,,,,,,,,,
INV-42237,ACH Transfer,29-Apr-24,,,,,,,,,,,
INV-18526,Credit Card,12-Apr-24,,,,,,,,,,,
INV-81205,ACH Transfer,4-May-24,,,,,,,,,,,
INV-61091,ACH Transfer,12-Apr-24,,,,,,,,,,,
INV-87173,Wire Transfer,8-Apr-24,,,,,,,,,,,
INV-22870,Wire Transfer,23-Apr-24,,,,,,,,,,,
INV-15967,ACH Transfer,9-Apr-24,,,,,,,,,,,
INV-73533,Credit Card,17-Apr-24,,,,,,,,,,,
INV-79628,Wire Transfer,7-Apr-24,,,,,,,,,,,
INV-64774,ACH Transfer,12-Apr-24,,,,,,,,,,,
INV-48506,Credit Card,7-Apr-24,,,,,,,,,,,
INV-32383,Credit Card,26-Apr-24,,,,,,,,,,,
INV-36565,Check,22-Apr-24,,,,,,,,,,,
INV-93486,Check,20-Apr-24,,,,,,,,,,,
INV-37690,Wire Transfer,20-Apr-24,,,,,,,,,,,
INV-93702,Credit Card,2-May-24,,,,,,,,,,,
INV-68975,ACH Transfer,29-Apr-24,,,,,,,,,,,
INV-47644,ACH Transfer,15-Apr-24,,,,,,,,,,,
INV-14656,ACH Transfer,24-Apr-24,,,,,,,,,,,
INV-80229,ACH Transfer,17-Apr-24,,,,,,,,,,,
INV-18290,ACH Transfer,6-May-24,,,,,,,,,,,
INV-29487,Check,30-Apr-24,,,,,,,,,,,
INV-71071,Credit Card,8-Apr-24,,,,,,,,,,,
INV-84657,Credit Card,21-Apr-24,,,,,,,,,,,
INV-11790,Credit Card,29-Apr-24,,,,,,,,,,,
INV-92040,Wire Transfer,17-Apr-24,,,,,,,,,,,
INV-70738,Wire Transfer,23-Apr-24,,,,,,,,,,,
INV-77859,Check,27-Apr-24,,,,,,,,,,,
INV-44058,Wire Transfer,29-Apr-24,,,,,,,,,,,
INV-78521,Wire Transfer,19-Apr-24,,,,,,,,,,,
INV-38214,ACH Transfer,14-Apr-24,,,,,,,,,,,
INV-68411,Wire Transfer,20-Apr-24,,,,,,,,,,,
INV-24752,Wire Transfer,25-Apr-24,,,,,,,,,,,
INV-18839,Wire Transfer,28-Apr-24,,,,,,,,,,,
INV-97639,Wire Transfer,19-Apr-24,,,,,,,,,,,
INV-78464,Credit Card,21-Apr-24,,,,,,,,,,,
INV-71618,Wire Transfer,9-Apr-24,,,,,,,,,,,
INV-14864,Check,11-Apr-24,,,,,,,,,,,
INV-72742,ACH Transfer,11-Apr-24,,,,,,,,,,,
INV-82180,Credit Card,23-Apr-24,,,,,,,,,,,
INV-79381,Wire Transfer,21-Apr-24,,,,,,,,,,,
INV-47521,Wire Transfer,4-May-24,,,,,,,,,,,
INV-76838,Wire Transfer,25-Apr-24,,,,,,,,,,,
INV-26527,Wire Transfer,30-Apr-24,,,,,,,,,,,
INV-69648,ACH Transfer,27-Apr-24,,,,,,,,,,,
INV-60896,Credit Card,9-Apr-24,,,,,,,,,,,
INV-51844,Check,30-Apr-24,,,,,,,,,,,
INV-69434,Wire Transfer,2-May-24,,,,,,,,,,,
INV-92979,Check,4-May-24,,,,,,,,,,,
INV-83926,Credit Card,27-Apr-24,,,,,,,,,,,
INV-26609,Check,27-Apr-24,,,,,,,,,,,
INV-80935,Wire Transfer,30-Apr-24,,,,,,,,,,,
INV-70492,Credit Card,8-Apr-24,,,,,,,,,,,
INV-91384,Wire Transfer,13-Apr-24,,,,,,,,,,,
INV-95814,ACH Transfer,29-Apr-24,,,,,,,,,,,
INV-84582,Credit Card,24-Apr-24,,,,,,,,,,,
INV-45986,Wire Transfer,25-Apr-24,,,,,,,,,,,
INV-72976,Check,15-Apr-24,,,,,,,,,,,
INV-77741,Check,23-Apr-24,,,,,,,,,,,
INV-23045,Wire Transfer,24-Apr-24,,,,,,,,,,,
INV-48499,Wire Transfer,1-May-24,,,,,,,,,,,
INV-45139,Wire Transfer,13-Apr-24,,,,,,,,,,,
INV-91282,Wire Transfer,4-May-24,,,,,,,,,,,
INV-67555,Wire Transfer,16-Apr-24,,,,,,,,,,,
INV-14795,Credit Card,29-Apr-24,,,,,,,,,,,
INV-21171,Credit Card,15-Apr-24,,,,,,,,,,,
INV-31279,ACH Transfer,21-Apr-24,,,,,,,,,,,
INV-94843,Check,23-Apr-24,,,,,,,,,,,
INV-94467,Check,8-Apr-24,,,,,,,,,,,
INV-92518,ACH Transfer,10-Apr-24,,,,,,,,,,,
INV-87837,Wire Transfer,1-May-24,,,,,,,,,,,
INV-28813,Check,15-Apr-24,,,,,,,,,,,
INV-79000,Check,4-May-24,,,,,,,,,,,
INV-15188,ACH Transfer,15-Apr-24,,,,,,,,,,,
INV-31134,Check,27-Apr-24,,,,,,,,,,,
INV-52894,Wire Transfer,2-May-24,,,,,,,,,,,
INV-13337,ACH Transfer,14-Apr-24,,,,,,,,,,,
INV-28461,Credit Card,11-Apr-24,,,,,,,,,,,
INV-26821,Wire Transfer,30-Apr-24,,,,,,,,,,,
INV-57674,ACH Transfer,23-Apr-24,,,,,,,,,,,
INV-46144,Wire Transfer,16-Apr-24,,,,,,,,,,,
INV-43445,ACH Transfer,4-May-24,,,,,,,,,,,
INV-50939,Check,21-Apr-24,,,,,,,,,,,
INV-55207,ACH Transfer,19-Apr-24,,,,,,,,,,,
INV-92806,Wire Transfer,20-Apr-24,,,,,,,,,,,
INV-23855,Credit Card,21-Apr-24,,,,,,,,,,,
INV-99220,Check,6-May-24,,,,,,,,,,,
INV-99480,Wire Transfer,23-Apr-24,,,,,,,,,,,
INV-29471,ACH Transfer,20-Apr-24,,,,,,,,,,,
INV-46350,Credit Card,30-Apr-24,,,,,,,,,,,
INV-16257,Check,20-Apr-24,,,,,,,,,,,
INV-75712,Check,27-Apr-24,,,,,,,,,,,
INV-29925,Check,16-Apr-24,,,,,,,,,,,
INV-91863,Wire Transfer,26-Apr-24,,,,,,,,,,,
INV-69479,Credit Card,20-Apr-24,,,,,,,,,,,
INV-37076,Wire Transfer,13-Apr-24,,,,,,,,,,,
INV-18116,Wire Transfer,12-Apr-24,,,,,,,,,,,
INV-81651,ACH Transfer,16-Apr-24,,,,,,,,,,,
INV-41900,Check,19-Apr-24,,,,,,,,,,,
INV-73543,Wire Transfer,23-Apr-24,,,,,,,,,,,
INV-95992,Check,23-Apr-24,,,,,,,,,,,
INV-11188,Wire Transfer,28-Apr-24,,,,,,,,,,,
INV-14529,ACH Transfer,11-Apr-24,,,,,,,,,,,
INV-11003,Wire Transfer,19-Apr-24,,,,,,,,,,,
INV-88187,Credit Card,3-May-24,,,,,,,,,,,
INV-42377,Credit Card,17-Apr-24,,,,,,,,,,,
INV-44425,Wire Transfer,5-May-24,,,,,,,,,,,
INV-56933,Wire Transfer,23-Apr-24,,,,,,,,,,,
INV-57552,Check,1-May-24,,,,,,,,,,,
INV-40992,Credit Card,4-May-24,,,,,,,,,,,
INV-64134,Check,2-May-24,,,,,,,,,,,
INV-21585,Credit Card,15-Apr-24,,,,,,,,,,,
INV-60472,Wire Transfer,2-May-24,,,,,,,,,,,
INV-93811,Wire Transfer,22-Apr-24,,,,,,,,,,,
INV-71975,ACH Transfer,21-Apr-24,,,,,,,,,,,
INV-93225,Credit Card,11-Apr-24,,,,,,,,,,,
INV-15436,ACH Transfer,16-Apr-24,,,,,,,,,,,
INV-93788,Check,4-May-24,,,,,,,,,,,
INV-89805,Check,20-Apr-24,,,,,,,,,,,
INV-73636,ACH Transfer,5-May-24,,,,,,,,,,,
INV-15150,Check,25-Apr-24,,,,,,,,,,,
INV-66008,Check,18-Apr-24,,,,,,,,,,,
INV-60762,Wire Transfer,4-May-24,,,,,,,,,,,
INV-97111,Check,23-Apr-24,,,,,,,,,,,
INV-27698,Credit Card,19-Apr-24,,,,,,,,,,,
INV-85790,Check,8-Apr-24,,,,,,,,,,,
INV-74159,Check,22-Apr-24,,,,,,,,,,,
INV-21305,ACH Transfer,15-Apr-24,,,,,,,,,,,
INV-84242,Wire Transfer,19-Apr-24,,,,,,,,,,,
INV-47977,ACH Transfer,10-Apr-24,,,,,,,,,,,
INV-41582,Credit Card,12-Apr-24,,,,,,,,,,,
INV-40763,Check,28-Apr-24,,,,,,,,,,,
INV-52592,Check,7-Apr-24,,,,,,,,,,,
INV-93454,Credit Card,7-Apr-24,,,,,,,,,,,
INV-13784,Check,12-Apr-24,,,,,,,,,,,
INV-69817,Credit Card,7-Apr-24,,,,,,,,,,,
INV-79566,Wire Transfer,12-Apr-24,,,,,,,,,,,
INV-57808,Credit Card,7-Apr-24,,,,,,,,,,,
INV-41722,Credit Card,25-Apr-24,,,,,,,,,,,
INV-97831,Check,8-Apr-24,,,,,,,,,,,
INV-12904,ACH Transfer,20-Apr-24,,,,,,,,,,,
INV-39785,Credit Card,2-May-24,,,,,,,,,,,
INV-77033,Wire Transfer,9-Apr-24,,,,,,,,,,,
INV-23350,Wire Transfer,9-Apr-24,,,,,,,,,,,
INV-44935,ACH Transfer,7-Apr-24,,,,,,,,,,,
INV-47180,Wire Transfer,16-Apr-24,,,,,,,,,,,
INV-47574,Credit Card,6-May-24,,,,,,,,,,,
INV-99279,ACH Transfer,22-Apr-24,,,,,,,,,,,
INV-74409,Check,26-Apr-24,,,,,,,,,,,
INV-51260,Credit Card,5-May-24,,,,,,,,,,,
INV-77256,Credit Card,11-Apr-24,,,,,,,,,,,
INV-55197,Credit Card,14-Apr-24,,,,,,,,,,,
INV-83217,Check,29-Apr-24,,,,,,,,,,,
INV-70707,ACH Transfer,7-Apr-24,,,,,,,,,,,
INV-16219,Credit Card,17-Apr-24,,,,,,,,,,,
INV-84995,ACH Transfer,19-Apr-24,,,,,,,,,,,
INV-90983,Credit Card,23-Apr-24,,,,,,,,,,,
INV-36746,Check,9-Apr-24,,,,,,,,,,,
INV-56127,Check,19-Apr-24,,,,,,,,,,,
INV-39806,ACH Transfer,13-Apr-24,,,,,,,,,,,
INV-94185,Check,28-Apr-24,,,,,,,,,,,
INV-68285,Check,13-Apr-24,,,,,,,,,,,
INV-34846,Check,20-Apr-24,,,,,,,,,,,
INV-74620,Credit Card,12-Apr-24,,,,,,,,,,,
INV-85413,Credit Card,7-Apr-24,,,,,,,,,,,
INV-49348,Credit Card,2-May-24,,,,,,,,,,,
INV-61955,Wire Transfer,22-Apr-24,,,,,,,,,,,
INV-61527,Credit Card,5-May-24,,,,,,,,,,,
INV-36952,Wire Transfer,13-Apr-24,,,,,,,,,,,
INV-61436,Credit Card,22-Apr-24,,,,,,,,,,,
INV-19410,Credit Card,23-Apr-24,,,,,,,,,,,
INV-87594,Wire Transfer,23-Apr-24,,,,,,,,,,,
INV-19700,Credit Card,9-Apr-24,,,,,,,,,,,
INV-16109,ACH Transfer,5-May-24,,,,,,,,,,,
INV-60734,ACH Transfer,13-Apr-24,,,,,,,,,,,
INV-59804,ACH Transfer,3-May-24,,,,,,,,,,,
INV-68923,Wire Transfer,5-May-24,,,,,,,,,,,
INV-70804,ACH Transfer,6-May-24,,,,,,,,,,,
INV-63437,ACH Transfer,9-Apr-24,,,,,,,,,,,
INV-87592,ACH Transfer,19-Apr-24,,,,,,,,,,,
INV-55960,ACH Transfer,24-Apr-24,,,,,,,,,,,
INV-26833,Check,22-Apr-24,,,,,,,,,,,
INV-93907,Check,17-Apr-24,,,,,,,,,,,
INV-86278,Wire Transfer,3-May-24,,,,,,,,,,,
INV-19376,ACH Transfer,12-Apr-24,,,,,,,,,,,
INV-40498,Check,10-Apr-24,,,,,,,,,,,
INV-10264,Credit Card,18-Apr-24,,,,,,,,,,,
INV-46824,ACH Transfer,12-Apr-24,,,,,,,,,,,
INV-76567,Check,16-Apr-24,,,,,,,,,,,
INV-84557,Wire Transfer,3-May-24,,,,,,,,,,,
INV-74555,ACH Transfer,1-May-24,,,,,,,,,,,
INV-73561,Check,12-Apr-24,,,,,,,,,,,
INV-17213,Credit Card,24-Apr-24,,,,,,,,,,,
INV-33881,ACH Transfer,2-May-24,,,,,,,,,,,
INV-62335,Wire Transfer,20-Apr-24,,,,,,,,,,,
INV-43583,Credit Card,26-Apr-24,,,,,,,,,,,
INV-92597,Check,9-Apr-24,,,,,,,,,,,
INV-19959,Wire Transfer,3-May-24,,,,,,,,,,,
INV-88507,ACH Transfer,13-Apr-24,,,,,,,,,,,
INV-35474,Credit Card,4-May-24,,,,,,,,,,,
INV-67793,Credit Card,14-Apr-24,,,,,,,,,,,
INV-22000,Wire Transfer,30-Apr-24,,,,,,,,,,,
INV-10545,ACH Transfer,19-Apr-24,,,,,,,,,,,
INV-43991,Wire Transfer,20-Apr-24,,,,,,,,,,,
INV-27088,Credit Card,20-Apr-24,,,,,,,,,,,
INV-55284,Credit Card,4-May-24,,,,,,,,,,,
INV-95876,ACH Transfer,10-Apr-24,,,,,,,,,,,
INV-19169,Wire Transfer,14-Apr-24,,,,,,,,,,,
INV-91680,Check,17-Apr-24,,,,,,,,,,,
INV-84157,ACH Transfer,7-Apr-24,,,,,,,,,,,
INV-29644,ACH Transfer,8-Apr-24,,,,,,,,,,,
INV-71234,Wire Transfer,11-Apr-24,,,,,,,,,,,
INV-99936,Credit Card,8-Apr-24,,,,,,,,,,,
INV-32813,Check,21-Apr-24,,,,,,,,,,,
INV-85843,ACH Transfer,25-Apr-24,,,,,,,,,,,
INV-71498,Check,25-Apr-24,,,,,,,,,,,
INV-68542,Check,20-Apr-24,,,,,,,,,,,
INV-45527,Check,2-May-24,,,,,,,,,,,
INV-64510,Check,3-May-24,,,,,,,,,,,
INV-29398,Credit Card,27-Apr-24,,,,,,,,,,,
INV-38594,ACH Transfer,9-Apr-24,,,,,,,,,,,
INV-32221,ACH Transfer,6-May-24,,,,,,,,,,,
INV-79054,Wire Transfer,26-Apr-24,,,,,,,,,,,
INV-40222,Credit Card,27-Apr-24,,,,,,,,,,,
INV-87920,Credit Card,27-Apr-24,,,,,,,,,,,
INV-64744,Wire Transfer,10-Apr-24,,,,,,,,,,,
INV-62103,Credit Card,10-Apr-24,,,,,,,,,,,
INV-48060,Check,9-Apr-24,,,,,,,,,,,
INV-55682,Check,14-Apr-24,,,,,,,,,,,
INV-29334,Credit Card,8-Apr-24,,,,,,,,,,,
INV-68950,Credit Card,12-Apr-24,,,,,,,,,,,
INV-62811,Check,23-Apr-24,,,,,,,,,,,
INV-73340,Credit Card,23-Apr-24,,,,,,,,,,,
INV-65316,Wire Transfer,21-Apr-24,,,,,,,,,,,
INV-68067,Credit Card,20-Apr-24,,,,,,,,,,,
INV-40398,Wire Transfer,2-May-24,,,,,,,,,,,
INV-16319,Credit Card,18-Apr-24,,,,,,,,,,,
INV-29557,Wire Transfer,14-Apr-24,,,,,,,,,,,
INV-79297,Credit Card,24-Apr-24,,,,,,,,,,,
INV-41190,Check,15-Apr-24,,,,,,,,,,,
INV-92409,Check,2-May-24,,,,,,,,,,,
INV-49430,Check,1-May-24,,,,,,,,,,,
INV-16840,ACH Transfer,30-Apr-24,,,,,,,,,,,
INV-65104,Wire Transfer,15-Apr-24,,,,,,,,,,,
INV-53956,Credit Card,15-Apr-24,,,,,,,,,,,
INV-26689,Wire Transfer,1-May-24,,,,,,,,,,,
INV-29926,Credit Card,1-May-24,,,,,,,,,,,
INV-39005,Credit Card,30-Apr-24,,,,,,,,,,,
INV-96704,Check,14-Apr-24,,,,,,,,,,,
INV-64223,Check,11-Apr-24,,,,,,,,,,,
INV-26735,Credit Card,26-Apr-24,,,,,,,,,,,
INV-15909,Check,16-Apr-24,,,,,,,,,,,
INV-54552,Wire Transfer,30-Apr-24,,,,,,,,,,,
INV-20708,Wire Transfer,21-Apr-24,,,,,,,,,,,
INV-83740,ACH Transfer,1-May-24,,,,,,,,,,,
INV-64655,Credit Card,14-Apr-24,,,,,,,,,,,
INV-30949,Wire Transfer,28-Apr-24,,,,,,,,,,,
INV-37248,Check,11-Apr-24,,,,,,,,,,,
INV-26133,Credit Card,13-Apr-24,,,,,,,,,,,
INV-47945,ACH Transfer,18-Apr-24,,,,,,,,,,,
INV-15470,Check,13-Apr-24,,,,,,,,,,,
INV-26440,Check,29-Apr-24,,,,,,,,,,,
INV-80194,ACH Transfer,4-May-24,,,,,,,,,,,
INV-69067,Check,30-Apr-24,,,,,,,,,,,
INV-73230,Wire Transfer,15-Apr-24,,,,,,,,,,,
INV-52041,ACH Transfer,24-Apr-24,,,,,,,,,,,
INV-47917,Wire Transfer,7-Apr-24,,,,,,,,,,,
INV-24761,Wire Transfer,11-Apr-24,,,,,,,,,,,
INV-65247,ACH Transfer,30-Apr-24,,,,,,,,,,,
INV-13028,Credit Card,6-May-24,,,,,,,,,,,
INV-83520,Check,22-Apr-24,,,,,,,,,,,
INV-61386,Credit Card,12-Apr-24,,,,,,,,,,,
INV-34054,Check,28-Apr-24,,,,,,,,,,,
INV-36776,Wire Transfer,9-Apr-24,,,,,,,,,,,
INV-66817,Check,28-Apr-24,,,,,,,,,,,
INV-89974,Wire Transfer,25-Apr-24,,,,,,,,,,,
INV-67698,ACH Transfer,23-Apr-24,,,,,,,,,,,
INV-33368,Credit Card,25-Apr-24,,,,,,,,,,,
INV-77021,Credit Card,25-Apr-24,,,,,,,,,,,
INV-54607,Check,29-Apr-24,,,,,,,,,,,
INV-13097,Credit Card,28-Apr-24,,,,,,,,,,,
INV-15074,Wire Transfer,5-May-24,,,,,,,,,,,
INV-41821,Wire Transfer,24-Apr-24,,,,,,,,,,,
INV-95007,ACH Transfer,28-Apr-24,,,,,,,,,,,
INV-43822,Wire Transfer,4-May-24,,,,,,,,,,,
INV-28516,Wire Transfer,25-Apr-24,,,,,,,,,,,
INV-90102,ACH Transfer,29-Apr-24,,,,,,,,,,,
INV-37933,Wire Transfer,19-Apr-24,,,,,,,,,,,
INV-60830,Credit Card,15-Apr-24,,,,,,,,,,,
INV-89085,Check,9-Apr-24,,,,,,,,,,,
INV-20350,Wire Transfer,25-Apr-24,,,,,,,,,,,
INV-53814,ACH Transfer,13-Apr-24,,,,,,,,,,,
INV-47722,Check,17-Apr-24,,,,,,,,,,,
INV-74117,Wire Transfer,11-Apr-24,,,,,,,,,,,
INV-49782,ACH Transfer,6-May-24,,,,,,,,,,,
INV-82776,Check,14-Apr-24,,,,,,,,,,,
INV-84841,Credit Card,23-Apr-24,,,,,,,,,,,
INV-70944,Check,23-Apr-24,,,,,,,,,,,
INV-33711,ACH Transfer,24-Apr-24,,,,,,,,,,,
INV-30356,Wire Transfer,13-Apr-24,,,,,,,,,,,
INV-84008,Wire Transfer,17-Apr-24,,,,,,,,,,,
INV-67807,Credit Card,16-Apr-24,,,,,,,,,,,
INV-37632,Wire Transfer,17-Apr-24,,,,,,,,,,,
INV-34515,ACH Transfer,26-Apr-24,,,,,,,,,,,
INV-82694,Credit Card,22-Apr-24,,,,,,,,,,,
INV-68977,Check,4-May-24,,,,,,,,,,,
INV-50498,Check,4-May-24,,,,,,,,,,,
INV-84565,ACH Transfer,12-Apr-24,,,,,,,,,,,
INV-19477,Check,15-Apr-24,,,,,,,,,,,
INV-17750,ACH Transfer,9-Apr-24,,,,,,,,,,,
INV-84971,Wire Transfer,9-Apr-24,,,,,,,,,,,
INV-66340,Credit Card,9-Apr-24,,,,,,,,,,,
INV-16977,Check,7-Apr-24,,,,,,,,,,,
INV-24035,Credit Card,20-Apr-24,,,,,,,,,,,
INV-24663,ACH Transfer,28-Apr-24,,,,,,,,,,,
INV-31015,Credit Card,1-May-24,,,,,,,,,,,
INV-61515,Wire Transfer,20-Apr-24,,,,,,,,,,,
INV-44706,Credit Card,1-May-24,,,,,,,,,,,
INV-95280,Check,17-Apr-24,,,,,,,,,,,
INV-65454,Check,3-May-24,,,,,,,,,,,
INV-47306,Check,27-Apr-24,,,,,,,,,,,
INV-96034,Wire Transfer,22-Apr-24,,,,,,,,,,,
INV-38878,ACH Transfer,22-Apr-24,,,,,,,,,,,
INV-15629,Check,18-Apr-24,,,,,,,,,,,
INV-92211,Check,13-Apr-24,,,,,,,,,,,
INV-38940,Credit Card,11-Apr-24,,,,,,,,,,,
INV-57712,Wire Transfer,30-Apr-24,,,,,,,,,,,
INV-69708,Check,16-Apr-24,,,,,,,,,,,
INV-29840,Wire Transfer,30-Apr-24,,,,,,,,,,,
INV-96101,Wire Transfer,27-Apr-24,,,,,,,,,,,
INV-20952,Credit Card,29-Apr-24,,,,,,,,,,,
INV-71199,Check,5-May-24,,,,,,,,,,,
INV-96627,ACH Transfer,16-Apr-24,,,,,,,,,,,
INV-25501,Check,22-Apr-24,,,,,,,,,,,
INV-34500,Check,11-Apr-24,,,,,,,,,,,
INV-93323,ACH Transfer,27-Apr-24,,,,,,,,,,,
INV-10571,Check,26-Apr-24,,,,,,,,,,,
INV-25649,Wire Transfer,7-Apr-24,,,,,,,,,,,
INV-50014,Check,22-Apr-24,,,,,,,,,,,
INV-39954,Wire Transfer,2-May-24,,,,,,,,,,,
INV-18624,Credit Card,11-Apr-24,,,,,,,,,,,
INV-59307,Check,23-Apr-24,,,,,,,,,,,
INV-36580,Credit Card,9-Apr-24,,,,,,,,,,,
INV-30746,Wire Transfer,26-Apr-24,,,,,,,,,,,
INV-82893,Check,3-May-24,,,,,,,,,,,
INV-69596,Wire Transfer,15-Apr-24,,,,,,,,,,,
INV-73953,Check,29-Apr-24,,,,,,,,,,,
